structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_1,"118,40","106,40","106,50","118,50",MAISON
maison_2,"46,55","34,55","34,65","46,65",MAISON
maison_3,"14,34","2,34","2,44","14,44",MAISON
bungalow_1,"152,131","141,131","141,138","152,138",BUNGALOW
bungalow_2,"31,76","20,76","20,83","31,83",BUNGALOW
bungalow_3,"82,85","71,85","71,92","82,92",BUNGALOW
bungalow_4,"82,122","71,122","71,129","82,129",BUNGALOW
bungalow_5,"82,49","71,49","71,56","82,56",BUNGALOW
singlehouse_1,"8,62","0,62","0,70","8,70",EENGEZINSWONING
singlehouse_2,"131,120","123,120","123,128","131,128",EENGEZINSWONING
singlehouse_3,"140,148","132,148","132,156","140,156",EENGEZINSWONING
singlehouse_4,"106,149","98,149","98,157","106,157",EENGEZINSWONING
singlehouse_5,"163,148","155,148","155,156","163,156",EENGEZINSWONING
singlehouse_6,"44,147","36,147","36,155","44,155",EENGEZINSWONING
singlehouse_7,"157,85","149,85","149,93","157,93",EENGEZINSWONING
singlehouse_8,"23,147","15,147","15,155","23,155",EENGEZINSWONING
singlehouse_9,"118,90","110,90","110,98","118,98",EENGEZINSWONING
singlehouse_10,"139,67","131,67","131,75","139,75",EENGEZINSWONING
singlehouse_11,"152,145","144,145","144,153","152,153",EENGEZINSWONING
singlehouse_12,"120,104","112,104","112,112","120,112",EENGEZINSWONING
networth,10592345
