structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_1,"66,83","54,83","54,93","66,93",MAISON
maison_2,"14,38","2,38","2,48","14,48",MAISON
maison_3,"107,63","95,63","95,73","107,73",MAISON
bungalow_1,"178,62","167,62","167,69","178,69",BUNGALOW
bungalow_2,"129,151","118,151","118,158","129,158",BUNGALOW
bungalow_3,"152,153","141,153","141,160","152,160",BUNGALOW
bungalow_4,"90,34","79,34","79,41","90,41",BUNGALOW
bungalow_5,"84,123","73,123","73,130","84,130",BUNGALOW
singlehouse_1,"103,115","95,115","95,123","103,123",EENGEZINSWONING
singlehouse_2,"60,115","52,115","52,123","60,123",EENGEZINSWONING
singlehouse_3,"126,127","118,127","118,135","126,135",EENGEZINSWONING
singlehouse_4,"31,104","23,104","23,112","31,112",EENGEZINSWONING
singlehouse_5,"24,152","16,152","16,160","24,160",EENGEZINSWONING
singlehouse_6,"148,138","140,138","140,146","148,146",EENGEZINSWONING
singlehouse_7,"77,141","69,141","69,149","77,149",EENGEZINSWONING
singlehouse_8,"147,66","139,66","139,74","147,74",EENGEZINSWONING
singlehouse_9,"28,120","20,120","20,128","28,128",EENGEZINSWONING
singlehouse_10,"164,96","156,96","156,104","164,104",EENGEZINSWONING
singlehouse_11,"144,107","136,107","136,115","144,115",EENGEZINSWONING
singlehouse_12,"88,102","80,102","80,110","88,110",EENGEZINSWONING
networth,11938952
