structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_1,"80,56","68,56","68,66","80,66",MAISON
maison_2,"107,75","95,75","95,85","107,85",MAISON
maison_3,"82,113","70,113","70,123","82,123",MAISON
bungalow_1,"141,62","130,62","130,69","141,69",BUNGALOW
bungalow_2,"106,39","95,39","95,46","106,46",BUNGALOW
bungalow_3,"154,74","143,74","143,81","154,81",BUNGALOW
bungalow_4,"106,146","95,146","95,153","106,153",BUNGALOW
bungalow_5,"51,116","40,116","40,123","51,123",BUNGALOW
singlehouse_1,"129,100","121,100","121,108","129,108",EENGEZINSWONING
singlehouse_2,"46,79","38,79","38,87","46,87",EENGEZINSWONING
singlehouse_3,"168,140","160,140","160,148","168,148",EENGEZINSWONING
singlehouse_4,"84,41","76,41","76,49","84,49",EENGEZINSWONING
singlehouse_5,"29,150","21,150","21,158","29,158",EENGEZINSWONING
singlehouse_6,"16,110","8,110","8,118","16,118",EENGEZINSWONING
singlehouse_7,"34,34","26,34","26,42","34,42",EENGEZINSWONING
singlehouse_8,"57,42","49,42","49,50","57,50",EENGEZINSWONING
singlehouse_9,"11,43","3,43","3,51","11,51",EENGEZINSWONING
singlehouse_10,"166,89","158,89","158,97","166,97",EENGEZINSWONING
singlehouse_11,"165,49","157,49","157,57","165,57",EENGEZINSWONING
singlehouse_12,"21,65","13,65","13,73","21,73",EENGEZINSWONING
networth,10714342
