structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_1,"170,51","158,51","158,61","170,61",MAISON
maison_2,"13,126","1,126","1,136","13,136",MAISON
maison_3,"53,70","41,70","41,80","53,80",MAISON
bungalow_1,"120,121","109,121","109,128","120,128",BUNGALOW
bungalow_2,"93,40","82,40","82,47","93,47",BUNGALOW
bungalow_3,"61,146","50,146","50,153","61,153",BUNGALOW
bungalow_4,"126,83","115,83","115,90","126,90",BUNGALOW
bungalow_5,"92,71","81,71","81,78","92,78",BUNGALOW
singlehouse_1,"147,94","139,94","139,102","147,102",EENGEZINSWONING
singlehouse_2,"13,41","5,41","5,49","13,49",EENGEZINSWONING
singlehouse_3,"109,63","101,63","101,71","109,71",EENGEZINSWONING
singlehouse_4,"154,147","146,147","146,155","154,155",EENGEZINSWONING
singlehouse_5,"167,101","159,101","159,109","167,109",EENGEZINSWONING
singlehouse_6,"13,88","5,88","5,96","13,96",EENGEZINSWONING
singlehouse_7,"71,63","63,63","63,71","71,71",EENGEZINSWONING
singlehouse_8,"71,79","63,79","63,87","71,87",EENGEZINSWONING
singlehouse_9,"133,123","125,123","125,131","133,131",EENGEZINSWONING
singlehouse_10,"141,49","133,49","133,57","141,57",EENGEZINSWONING
singlehouse_11,"102,106","94,106","94,114","102,114",EENGEZINSWONING
singlehouse_12,"70,110","62,110","62,118","70,118",EENGEZINSWONING
networth,11010865
